function_ID,run_ID,dim,best_fitness,time_period,communication_percentage,total_FEs,node_num,total_pop_size,interval,migration_size,buffer_capacity,migration_topology,buffer_manage,EA_parameters
26,6,10,102.074,2.34158,0,10000000,256,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,7,10,101.368,2.27427,0,10000000,256,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,7,10,102.913,5.31672,0,10000000,64,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,8,10,103.116,1.92593,0,10000000,256,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,2,10,102.094,21.3916,0,10000000,16,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,8,10,102.615,5.30002,0,10000000,64,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,1,10,102.829,43.2697,0,10000000,8,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,9,10,102.623,2.30532,0,10000000,256,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,3,10,407.274,14.7385,0,10000000,8,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,9,10,102.412,5.30212,0,10000000,64,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,10,10,101.912,1.95709,0,10000000,256,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,10,10,101.318,5.30149,0,10000000,64,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,11,10,103,2.20054,0,10000000,256,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,11,10,101.837,5.31046,0,10000000,64,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,4,10,370.546,14.4671,0,10000000,8,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,3,10,102.622,21.4131,0,10000000,16,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,12,10,102.721,5.30918,0,10000000,64,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,12,10,102.317,2.04368,0,10000000,256,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,13,10,102.077,5.30447,0,10000000,64,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,13,10,101.368,1.81677,0,10000000,256,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,14,10,102.426,1.80329,0,10000000,256,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,14,10,103.32,5.30247,0,10000000,64,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,5,10,405.614,14.4109,0,10000000,8,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,15,10,102.625,5.3115,0,10000000,64,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,15,10,103.349,1.88586,0,10000000,256,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,4,10,103.117,21.4254,0,10000000,16,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,2,10,101.806,43.318,0,10000000,8,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,6,10,397.936,14.4462,0,10000000,8,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,5,10,102.122,21.4251,0,10000000,16,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,7,10,389.311,14.6915,0,10000000,8,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,8,10,359.576,14.4825,0,10000000,8,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,6,10,101.942,21.4185,0,10000000,16,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,3,10,103.038,43.2899,0,10000000,8,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,9,10,387.293,14.3988,0,10000000,8,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,7,10,102.521,21.4165,0,10000000,16,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,10,10,377.064,14.4502,0,10000000,8,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,11,10,382.204,14.6699,0,10000000,8,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,8,10,102.122,21.4179,0,10000000,16,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,4,10,103.068,43.2387,0,10000000,8,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,12,10,391.122,14.4617,0,10000000,8,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,9,10,102.553,21.4225,0,10000000,16,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,13,10,347.766,14.4131,0,10000000,8,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,14,10,396.717,14.5752,0,10000000,8,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,10,10,101.799,21.4243,0,10000000,16,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,5,10,102.814,43.259,0,10000000,8,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,15,10,388.504,14.6778,0,10000000,8,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,11,10,102.628,21.4191,0,10000000,16,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,12,10,102.423,21.4211,0,10000000,16,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,6,10,103.095,43.2397,0,10000000,8,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,13,10,102.746,21.4165,0,10000000,16,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,14,10,102.537,21.4124,0,10000000,16,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,7,10,102.922,43.2446,0,10000000,8,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,15,10,102.693,21.4201,0,10000000,16,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,8,10,103.137,43.2511,0,10000000,8,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,1,10,102.428,10.9091,0,10000000,32,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,1,30,902.487,15.6323,0,30000000,64,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,1,10,101.792,8.21962,0,10000000,512,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,1,30,698.241,15.5081,0,30000000,256,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,1,10,376.22,6.99213,0,10000000,512,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,2,10,103.053,10.6504,0,10000000,32,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,2,10,392.285,1.55273,0,10000000,512,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,2,30,754.467,15.3684,0,30000000,64,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,3,10,102.312,10.6445,0,10000000,32,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,2,10,102.699,1.42001,0,10000000,512,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,4,10,102.915,10.6454,0,10000000,32,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,3,10,406.374,4.00338,0,10000000,512,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,9,10,103.449,43.2282,0,10000000,8,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
